i,ne,Me,tc,ge,CO2,NOx
1,1200,140,80.7,233.16,5.88,665.25
2,1200,210,82.8,225.23,8.67,900.5
3,1200,252,83.2,232.83,10.58,957.19
4,1400,28,79.3,478.57,3.11,199.84
5,1400,70,80.2,292.57,4.33,325.21
6,1400,140,80.7,236.49,6.5,610.04
7,1400,210,83.2,227.94,8.75,818.1
8,1400,252,83.7,237.09,10.9,836.57
9,1600,28,80.3,506.77,3.11,175.13
10,1600,70,80.4,300.99,4.33,303.89
11,1600,140,81.5,238.77,6.5,566.38
12,1600,210,82.3,229.92,9.09,795.66
13,1600,252,84.3,244.17,11.46,814.56
14,1800,28,80.2,537.04,3.3,170.97
15,1800,70,80.7,311.98,4.51,283.75
16,1800,140,82.1,248.01,6.77,526.49
17,1800,210,83.1,237.34,9.59,748.64
18,1800,252,85,258.16,12.02,730.34
19,2000,28,80.7,570.84,3.58,171.73
20,2000,70,80.8,239.71,4.88,280.93
21,2000,140,82.8,257.99,7.12,507.44
22,2000,210,83.6,247.54,10.01,683.83
